Namespace(batch_size=32, binary=False, checkinfo=False, data_dir='/scratch/project_2003455/cloud/vnn/data', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=200, k=20, lr=0.001, model='svnet', momentum=0.9, multi=1, num_points=1024, num_workers=8, pooling='mean', resume=False, resume_from=None, rot='z', rot_test='so3', save_dir='/scratch/project_2002243/zhuo/vnbnn/exp_068', seed=1, test=None, wd=0.0001)
EPOCH 060/200 | Test: loss 1.787742, acc 0.822123, avg acc 0.772866 | Train: loss 1.747329, acc 0.811279, avg acc 0.748134 | lr 0.00034300 | 2022-02-16-09-36-47
EPOCH 061/200 | Test: loss 1.787990, acc 0.827391, avg acc 0.766076 | Train: loss 1.736869, acc 0.820745, avg acc 0.765169 | lr 0.00034300 | 2022-02-16-09-37-14
EPOCH 062/200 | Test: loss 1.784675, acc 0.825365, avg acc 0.765733 | Train: loss 1.741167, acc 0.817386, avg acc 0.761781 | lr 0.00034300 | 2022-02-16-09-37-41
EPOCH 063/200 | Test: loss 1.771972, acc 0.826175, avg acc 0.770831 | Train: loss 1.735580, acc 0.823392, avg acc 0.761918 | lr 0.00034300 | 2022-02-16-09-38-08
EPOCH 064/200 | Test: loss 1.840693, acc 0.807131, avg acc 0.759890 | Train: loss 1.727695, acc 0.823392, avg acc 0.760548 | lr 0.00034300 | 2022-02-16-09-38-35
EPOCH 065/200 | Test: loss 1.858998, acc 0.790113, avg acc 0.737750 | Train: loss 1.722265, acc 0.828685, avg acc 0.770523 | lr 0.00034300 | 2022-02-16-09-39-02
EPOCH 066/200 | Test: loss 1.788222, acc 0.824959, avg acc 0.764209 | Train: loss 1.725409, acc 0.821865, avg acc 0.761302 | lr 0.00034300 | 2022-02-16-09-39-29
EPOCH 067/200 | Test: loss 1.768511, acc 0.824554, avg acc 0.764744 | Train: loss 1.714512, acc 0.828990, avg acc 0.772238 | lr 0.00034300 | 2022-02-16-09-39-55
EPOCH 068/200 | Test: loss 1.798827, acc 0.832658, avg acc 0.775721 | Train: loss 1.712809, acc 0.830822, avg acc 0.774740 | lr 0.00034300 | 2022-02-16-09-40-23
EPOCH 069/200 | Test: loss 1.806416, acc 0.811994, avg acc 0.751517 | Train: loss 1.711871, acc 0.832248, avg acc 0.775444 | lr 0.00034300 | 2022-02-16-09-40-49
EPOCH 070/200 | Test: loss 1.784001, acc 0.815640, avg acc 0.743971 | Train: loss 1.709139, acc 0.833265, avg acc 0.777158 | lr 0.00034300 | 2022-02-16-09-41-16
EPOCH 071/200 | Test: loss 1.772520, acc 0.823339, avg acc 0.762686 | Train: loss 1.704188, acc 0.831433, avg acc 0.774577 | lr 0.00034300 | 2022-02-16-09-41-43
EPOCH 072/200 | Test: loss 1.828788, acc 0.801864, avg acc 0.756814 | Train: loss 1.697746, acc 0.839475, avg acc 0.781597 | lr 0.00034300 | 2022-02-16-09-42-10
EPOCH 073/200 | Test: loss 1.775749, acc 0.816451, avg acc 0.763012 | Train: loss 1.701562, acc 0.835810, avg acc 0.782169 | lr 0.00034300 | 2022-02-16-09-42-37
EPOCH 074/200 | Test: loss 1.761350, acc 0.840762, avg acc 0.783953 | Train: loss 1.698199, acc 0.836828, avg acc 0.779986 | lr 0.00034300 | 2022-02-16-09-43-04
EPOCH 075/200 | Test: loss 1.798551, acc 0.817666, avg acc 0.763773 | Train: loss 1.691290, acc 0.843852, avg acc 0.790495 | lr 0.00034300 | 2022-02-16-09-43-31
EPOCH 076/200 | Test: loss 1.774317, acc 0.829822, avg acc 0.764581 | Train: loss 1.690070, acc 0.842427, avg acc 0.787154 | lr 0.00034300 | 2022-02-16-09-43-58
EPOCH 077/200 | Test: loss 1.759595, acc 0.832253, avg acc 0.779640 | Train: loss 1.692644, acc 0.836828, avg acc 0.780197 | lr 0.00034300 | 2022-02-16-09-44-25
EPOCH 078/200 | Test: loss 1.764673, acc 0.839546, avg acc 0.783413 | Train: loss 1.695301, acc 0.839882, avg acc 0.787322 | lr 0.00034300 | 2022-02-16-09-44-52
EPOCH 079/200 | Test: loss 1.767694, acc 0.820908, avg acc 0.773448 | Train: loss 1.684496, acc 0.843343, avg acc 0.788651 | lr 0.00034300 | 2022-02-16-09-45-20
EPOCH 080/200 | Test: loss 1.730416, acc 0.841977, avg acc 0.784576 | Train: loss 1.670298, acc 0.850570, avg acc 0.804099 | lr 0.00024010 | 2022-02-16-09-45-47
EPOCH 081/200 | Test: loss 1.759840, acc 0.835089, avg acc 0.777052 | Train: loss 1.656206, acc 0.855761, avg acc 0.803656 | lr 0.00024010 | 2022-02-16-09-46-15
EPOCH 082/200 | Test: loss 1.728067, acc 0.835089, avg acc 0.768826 | Train: loss 1.663006, acc 0.848432, avg acc 0.797169 | lr 0.00024010 | 2022-02-16-09-46-44
EPOCH 083/200 | Test: loss 1.750339, acc 0.828606, avg acc 0.778953 | Train: loss 1.655864, acc 0.858713, avg acc 0.806349 | lr 0.00024010 | 2022-02-16-09-47-11
EPOCH 084/200 | Test: loss 1.752907, acc 0.848460, avg acc 0.794070 | Train: loss 1.656202, acc 0.858510, avg acc 0.808100 | lr 0.00024010 | 2022-02-16-09-47-38
EPOCH 085/200 | Test: loss 1.753278, acc 0.839546, avg acc 0.790035 | Train: loss 1.659226, acc 0.856169, avg acc 0.805280 | lr 0.00024010 | 2022-02-16-09-48-05
EPOCH 086/200 | Test: loss 1.763083, acc 0.831848, avg acc 0.781680 | Train: loss 1.657426, acc 0.857492, avg acc 0.806981 | lr 0.00024010 | 2022-02-16-09-48-32
EPOCH 087/200 | Test: loss 1.760587, acc 0.844814, avg acc 0.798907 | Train: loss 1.642369, acc 0.861258, avg acc 0.811496 | lr 0.00024010 | 2022-02-16-09-48-59
EPOCH 088/200 | Test: loss 1.755848, acc 0.839141, avg acc 0.783581 | Train: loss 1.657361, acc 0.856576, avg acc 0.806854 | lr 0.00024010 | 2022-02-16-09-49-26
EPOCH 089/200 | Test: loss 1.749526, acc 0.840762, avg acc 0.783366 | Train: loss 1.644877, acc 0.859324, avg acc 0.810766 | lr 0.00024010 | 2022-02-16-09-49-53
EPOCH 090/200 | Test: loss 1.763072, acc 0.827391, avg acc 0.773256 | Train: loss 1.641399, acc 0.862683, avg acc 0.815722 | lr 0.00024010 | 2022-02-16-09-50-20
EPOCH 091/200 | Test: loss 1.749202, acc 0.846029, avg acc 0.790872 | Train: loss 1.648328, acc 0.857899, avg acc 0.812683 | lr 0.00024010 | 2022-02-16-09-50-47
EPOCH 092/200 | Test: loss 1.753875, acc 0.829417, avg acc 0.791500 | Train: loss 1.639601, acc 0.865737, avg acc 0.819591 | lr 0.00024010 | 2022-02-16-09-51-14
EPOCH 093/200 | Test: loss 1.744592, acc 0.844003, avg acc 0.778826 | Train: loss 1.643323, acc 0.859324, avg acc 0.812349 | lr 0.00024010 | 2022-02-16-09-51-41
EPOCH 094/200 | Test: loss 1.733054, acc 0.841167, avg acc 0.783000 | Train: loss 1.637616, acc 0.864515, avg acc 0.814383 | lr 0.00024010 | 2022-02-16-09-52-08
